contract,number mutants,attemptsDI2,ratioDI2,attemptsDS2,ratioDS2,attemptsDI5,ratioDI5,attemptsDS5,ratioDS5
0,100,187,1.87,100,1.0,389,3.89,100,1.0
1,100,184,1.84,123,1.23,812,8.12,141,1.41
2,100,268,2.68,143,1.43,1147,11.47,199,1.99
3,100,295,2.95,139,1.39,1537,15.37,341,3.41
4,100,342,3.42,187,1.87,2246,22.46,593,5.93
5,100,310,3.1,182,1.82,2037,20.37,628,6.28
6,100,332,3.32,231,2.31,2198,21.98,840,8.4
7,100,447,4.47,243,2.43,2082,20.82,827,8.27
