mission_name,datetime,"initial pos (x,y)",time budget (s),time search (s),distance inspected (m)
time constrained metacontrol,Nov-30-2023-08-09-58,"(-17.0, 2.7)",300,59,70.72657012939453
time constrained metacontrol,Nov-30-2023-08-17-06,"(-17.0, 2.71)",300,64,0.0
