seedSize,numMutations,computationTime
5498,30,267
757,30,18
10440,30,569
1018,30,35
195,30,3
17409,30,883
388,30,42
135,30,6
6354,30,167
575,30,20
664,30,13
7815,30,237
528,30,21
1293,30,31
1051,30,634
9017,30,309
351,30,8
529,30,17
13146,30,336
392,30,26
645,30,62
327,30,4
757,30,18
2615,30,144
761,30,20
2640,30,76
800,30,49
2677,30,84
10457,30,310
446,30,29
1237,30,60
536,30,11
735,30,36
288,30,8
909,30,20
1944,30,176
568,30,16
1074,30,198
187,30,6
1238,30,49
648,30,55
1095,30,24
8045,30,413
2820,30,74
974,30,26
688,30,52
346,30,1539
490,30,8
7133,30,251
1326,30,34
429,30,49
1074,30,97
6536,30,213
2194,30,191
390,30,10
187,30,9
1162,30,39
1228,30,15
1951,30,53
9018,30,319
2820,30,51
645,30,9
12127,30,376
187,30,4
146,30,4
9017,30,428
687,30,15
393,30,22
1228,30,22
1951,30,76
899,30,73
2297,30,50
266,30,8
808,30,12
886,30,13
2194,30,54
2615,30,181
2990,30,77
3006,30,117
755,30,23
1499,30,69
6078,30,100000
583,30,12
6429,30,137
1602,30,22
266,30,29
1447,30,36
3341,30,86
1153,30,67
234,30,7
341,30,7
9634,30,229
622,30,6
6416,30,107
739,30,15
1944,30,36
2472,30,54
1796,30,44
187,30,6
5096,30,185
9017,30,274
378,30,7
10457,30,203
570,30,9
687,30,15
897,30,19
213,30,26
640,30,28
378,30,56
874,30,10
3255,30,77
7133,30,715
1060,30,54
7013,30,255
1060,30,19
1440,30,2783
6918,30,176
4955,30,126
327,30,10
9017,30,609
1543,30,116
429,30,23
267,30,5
360,30,11
441,30,20
500,30,9
767,30,26
13151,30,1437
5803,30,120
3256,30,59
288,30,6
187,30,1
800,30,27
425,30,7
2227,30,65
1796,30,124
3341,30,132
8045,30,243
6275,30,829
739,30,10
472,30,26
375,30,60
375,30,6
10203,30,574
5838,30,135
697,30,15
498,30,9
3256,30,324
437,30,12
761,30,18
570,30,29
1944,30,119
3121,30,84
1237,30,21
1665,30,29
2088,30,35
9307,30,471
17409,30,2206
14498,30,552
1000,30,436
6078,30,156
