id,folder,ontology,oracle
0,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/firstBatchRun.0.suave.owl,passed
1,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/firstBatchRun.1.suave.owl,passed
2,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/firstBatchRun.2.suave.owl,failed
3,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/firstBatchRun.3.suave.owl,failed
4,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/firstBatchRun.4.suave.owl,failed
5,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/firstBatchRun.5.suave.owl,failed
6,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/firstBatchRun.6.suave.owl,failed
7,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/firstBatchRun.7.suave.owl,failed
