numMutations,avg,std,avg10,std10,avg100,std100
0,9.268,3.6507774514478375,21.318,2.8307023863345258,29.668,1.5145217066783843
1,10.022,3.807035066820374,28.838,3.4524999637943528,46.822,2.615782101016824
2,10.718,4.0701936071887355,29.096,3.605937326133123,50.288,2.886010394991679
3,10.878,3.922641456977684,27.658,3.5413325175701886,46.092,3.0606430696832305
4,11.556,4.36702003659246,28.15,3.851687941669213,44.948,4.036495509721274
5,11.948,4.361799628593685,28.6,3.295451410656821,42.776,2.611096321471117
6,12.35,4.1607090741843535,28.96,2.995062603686275,43.556,3.0237169179670262
7,12.592,4.475436961906622,30.156,3.0873393075591835,43.918,3.057985611476939
8,12.918,4.77820845087361,31.364,3.2612120446239006,44.868,2.453278622578364
9,13.742,4.684382136418847,32.102,3.1754678395474283,46.838,3.020555578035273
10,13.682,4.789245869654221,32.732,3.6567985998684702,47.854,2.781489529011389
15,16.234,4.877216829299266,35.608,3.4173580438695614,51.426,3.148416109728826
20,17.58,5.297508848506063,37.018,3.3790051790430837,54.53,2.7930449334015366
30,20.776,5.096452099254931,41.214,3.763536103188071,58.786,1.5060557758595803
40,23.554,5.29746014614551,44.444,3.782970261580177,59.768,1.1216844476054773
50,25.574,5.577501591214477,46.668,3.7226033901021465,60.334,0.8261016886558239
75,29.408,5.672877224125336,51.04,3.2041223447303024,60.062,0.9349631008761777
100,32.592,5.438155569676175,54.158,2.195685769867807,59.328,0.8834115688624362
