id;folder;mutantFile;numMutations;numDel;numAdd;appliedMutations;affectedSeedNodes;addedAxioms;removedAxioms
0;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.0.suave.owl;2;1;1;[AddRelationMutation(random), RemoveAxiomMutation(random)];[fd_spiral_medium,hasQAestimation,qa_motion_efficiency_normal,c_thruster_6,requiredBy,fd_all_thrusters];[[http://www.metacontrol.org/suave#fd_spiral_medium, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_motion_efficiency_normal]];[[http://www.metacontrol.org/suave#c_thruster_6, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters]]
1;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.1.suave.owl;2;0;2;[AddInstanceMutation(random), AddInstanceMutation(random)];[QualityAttributeType];[[inner:asd2110815960, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QualityAttributeType],[inner:asd2038958042, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QualityAttributeType]];[]
2;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.2.suave.owl;2;1;1;[RemoveAxiomMutation(random), AddInstanceMutation(random)];[QAvalue,fd_spiral_high,hasQAestimation,qa_water_visibility_high];[[inner:asd2003094987, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QAvalue]];[[http://www.metacontrol.org/suave#fd_spiral_high, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_high]]
3;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.3.suave.owl;2;1;2;[AddRelationMutation(random), AddInstanceMutation(random)];[qa_water_visibility_low,isQAtype,performance,QAvalue,water_visibility];[[http://www.metacontrol.org/suave#qa_water_visibility_low, http://metacontrol.org/tomasys#isQAtype, http://ros/mros#performance],[inner:asd628429842, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QAvalue]];[[http://www.metacontrol.org/suave#qa_water_visibility_low, http://metacontrol.org/tomasys#isQAtype, http://www.metacontrol.org/suave#water_visibility]]
4;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.4.suave.owl;2;1;2;[ChangeRelationMutation(random), AddRelationMutation(random)];[d58a2984-bca3-44da-8202-9fb4334f4a53,o_always_improve,fd_spiral_medium,solvesF,f_maintain_motion,f_generate_search_path];[[d58a2984-bca3-44da-8202-9fb4334f4a53, http://www.w3.org/2000/01/rdf-schema#comment, http://metacontrol.org/tomasys#o_always_improve],[http://www.metacontrol.org/suave#fd_spiral_medium, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion]];[[http://www.metacontrol.org/suave#fd_spiral_medium, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_generate_search_path]]
5;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.5.suave.owl;2;1;1;[AddInstanceMutation(random), RemoveAxiomMutation(random)];[FunctionDesign,qa_search_efficiency_medium,QAvalue];[[inner:asd995834809, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#FunctionDesign]];[[http://www.metacontrol.org/suave#qa_search_efficiency_medium, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#QAvalue]]
6;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.6.suave.owl;2;1;2;[AddRelationMutation(random), AddRelationMutation(random)];[ComponentClass,Function,fd_recover_thrusters,solvesF,f_follow_pipeline,f_maintain_motion];[[http://metacontrol.org/tomasys#ComponentClass, http://www.w3.org/2000/01/rdf-schema#subClassOf, http://metacontrol.org/tomasys#Function],[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_follow_pipeline]];[[http://www.metacontrol.org/suave#fd_recover_thrusters, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_maintain_motion]]
7;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.7.suave.owl;2;0;2;[AddInstanceMutation(random), AddInstanceMutation(random)];[Objective,ComponentClass];[[inner:asd696994391, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Objective],[inner:asd1431387963, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#ComponentClass]];[]
8;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.8.suave.owl;2;3;1;[RemoveNodeMutation(random), AddInstanceMutation(random)];[ComponentClass,c_thruster_3,requiredBy,fd_all_thrusters,Component,NamedIndividual];[[inner:asd2108851715, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#ComponentClass]];[[http://www.metacontrol.org/suave#c_thruster_3, http://ros/mros#requiredBy, http://www.metacontrol.org/suave#fd_all_thrusters],[http://www.metacontrol.org/suave#c_thruster_3, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#Component],[http://www.metacontrol.org/suave#c_thruster_3, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/2002/07/owl#NamedIndividual]]
9;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/suave/mutatedOnt/onlyGeneric03.9.suave.owl;2;5;1;[AddRelationMutation(random), RemoveNodeMutation(random)];[energy,qa_comparison_operator,fd_spiral_low,NamedIndividual,hasQAestimation,qa_water_visibility_low,solvesF,f_generate_search_path,FunctionDesign,qa_search_efficiency_low];[[http://ros/mros#energy, http://metacontrol.org/tomasys#qa_comparison_operator, "<"]];[[http://www.metacontrol.org/suave#fd_spiral_low, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://www.w3.org/2002/07/owl#NamedIndividual],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_water_visibility_low],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#solvesF, http://www.metacontrol.org/suave#f_generate_search_path],[http://www.metacontrol.org/suave#fd_spiral_low, http://www.w3.org/1999/02/22-rdf-syntax-ns#type, http://metacontrol.org/tomasys#FunctionDesign],[http://www.metacontrol.org/suave#fd_spiral_low, http://metacontrol.org/tomasys#hasQAestimation, http://www.metacontrol.org/suave#qa_search_efficiency_low]]
