id;folder;mutantFile;numMutations;numDel;numAdd;appliedMutations;affectedSeedNodes;addedAxioms;removedAxioms
0;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/firstTest.0.owl;1;1;1;[ChangeDataPropertyMutation(random)];[mandal_formation_temperature,datavalue];[[http://purl.obolibrary.org/obo/bfo.owl#mandal_formation_temperature, http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#datavalue, "2.625"^^http://www.w3.org/2001/XMLSchema#decimal]];[[http://purl.obolibrary.org/obo/bfo.owl#mandal_formation_temperature, http://www.semanticweb.org/quy/ontologies/2023/2/untitled-ontology-38#datavalue, "100.0"^^http://www.w3.org/2001/XMLSchema#double]]
1;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/firstTest.1.owl;1;1;1;[CEUAMutation(config=DoubleStringAndStatementConfiguration(9fd1732fa6372e681233cd3c8fe2bf0e,http://www.w3.org/2002/07/owl#Thing,[031790fe5431db422c46971dd2a51674, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, 9fd1732fa6372e681233cd3c8fe2bf0e]))];[031790fe5431db422c46971dd2a51674,Thing,9fd1732fa6372e681233cd3c8fe2bf0e];[[031790fe5431db422c46971dd2a51674, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, http://www.w3.org/2002/07/owl#Thing]];[[031790fe5431db422c46971dd2a51674, http://www.w3.org/1999/02/22-rdf-syntax-ns#first, 9fd1732fa6372e681233cd3c8fe2bf0e]]
2;/home/tobias/Documents/programming/ontologies/OntoMutate;sut/geo/mutatedOnt/firstTest.2.owl;1;1;1;[ACATOMutation(config=DoubleStringAndStatementConfiguration(http://www.w3.org/2002/07/owl#intersectionOf,http://www.w3.org/2002/07/owl#unionOf,[50bc4a96ca4e6bb8b64c5ab8517d8857, http://www.w3.org/2002/07/owl#intersectionOf, a08258d02d8c6c1e8e22350982d13370]))];[50bc4a96ca4e6bb8b64c5ab8517d8857,a08258d02d8c6c1e8e22350982d13370];[[50bc4a96ca4e6bb8b64c5ab8517d8857, http://www.w3.org/2002/07/owl#unionOf, a08258d02d8c6c1e8e22350982d13370]];[[50bc4a96ca4e6bb8b64c5ab8517d8857, http://www.w3.org/2002/07/owl#intersectionOf, a08258d02d8c6c1e8e22350982d13370]]
