id,folder,ontology,oracle
0,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.0.suave.owl,passed
1,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.1.suave.owl,passed
2,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.2.suave.owl,passed
3,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.3.suave.owl,passed
4,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.4.suave.owl,passed
5,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.5.suave.owl,passed
6,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.6.suave.owl,failed
7,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.7.suave.owl,passed
8,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.8.suave.owl,passed
9,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.9.suave.owl,passed
10,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.10.suave.owl,passed
11,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.11.suave.owl,passed
12,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.12.suave.owl,passed
13,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.13.suave.owl,passed
14,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.14.suave.owl,passed
15,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.15.suave.owl,failed
16,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.16.suave.owl,passed
17,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.17.suave.owl,passed
18,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.18.suave.owl,passed
19,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.19.suave.owl,passed
20,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.20.suave.owl,passed
21,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.21.suave.owl,passed
22,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.22.suave.owl,failed
23,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.23.suave.owl,passed
24,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.24.suave.owl,passed
25,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.25.suave.owl,failed
26,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.26.suave.owl,passed
27,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.27.suave.owl,failed
28,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.28.suave.owl,passed
29,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave08.29.suave.owl,passed
