id,folder,ontology,oracle
0,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.0.suave.owl,passed
1,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.1.suave.owl,passed
2,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.2.suave.owl,passed
3,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.3.suave.owl,passed
4,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.4.suave.owl,failed
5,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.5.suave.owl,passed
6,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.6.suave.owl,passed
7,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.7.suave.owl,passed
8,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.8.suave.owl,passed
9,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.9.suave.owl,passed
10,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.10.suave.owl,passed
11,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.11.suave.owl,passed
12,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.12.suave.owl,passed
13,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.13.suave.owl,passed
14,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.14.suave.owl,failed
15,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.15.suave.owl,passed
16,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.16.suave.owl,passed
17,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.17.suave.owl,failed
18,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.18.suave.owl,failed
19,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.19.suave.owl,passed
20,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.20.suave.owl,passed
21,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.21.suave.owl,passed
22,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.22.suave.owl,passed
23,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.23.suave.owl,failed
24,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.24.suave.owl,failed
25,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.25.suave.owl,passed
26,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.26.suave.owl,passed
27,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.27.suave.owl,passed
28,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.28.suave.owl,passed
29,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.29.suave.owl,passed
30,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.30.suave.owl,passed
31,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.31.suave.owl,passed
32,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.32.suave.owl,passed
33,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.33.suave.owl,passed
34,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.34.suave.owl,failed
35,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.35.suave.owl,passed
36,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.36.suave.owl,passed
37,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.37.suave.owl,failed
38,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.38.suave.owl,passed
39,/home/tobias/Documents/programming/ontologies/OntoMutate,sut/suave/mutatedOnt/onlySuave05.39.suave.owl,passed
